Regulation,Year,Agency,Cost
"SETTING AND ADJUSTING PATENT FEES DURING FISCAL YEAR 2020","2020","Commerce","0.0"
"Amendments to National Security License Review Policy Under the Export Administration Regulations","2020","Commerce","0.0"
"Section 232 Steel and Aluminum Tariff Exclusions Process","2020","Commerce","-2.2m"
"Aluminum Import Monitoring and Analysis System","2020","Commerce","2.9m"
"Foreign-Trade Zones in the United States","2012","Commerce","0.0"
"Fish and Seafood Promotion Act Provisions; Seafood Marketing Councils","2007","Commerce","0.0"
"Rules to Implement and Administer a Coupon Program for Digital-to-Analog","2007","Commerce","0.0"
"Export and Reexport Controls for the People's Republic","2007","Commerce","500.0k"
"International Services Surveys: BE-185, Quarterly Survey of Financial Services","2007","Commerce","0.0"
"Endangered and Threatened Species; Designation of Critical Habitat for the Nassau Grouper","2024","Commerce","440.0k"
"International Services Surveys: BE-125, Quarterly Survey of Transactions","2007","Commerce","0.0"
"Direct Investment Surveys: BE-11, Annual Survey of U.S. Direct Investment Abroad","2007","Commerce","0.0"
"PUBLIC SAFETY INTEROPERABLE COMMUNICATIONS","2007","Commerce","0.0"
"Fisheries of the Caribbean, Gulf of Mexico, and South Atlantic; Reef Fish Fishery of the Gulf of Mexico; Lane Snapper Catch Limits","2024","Commerce","0.0"
"Atlantic Highly Migratory Species; Electronic Dealer Reporting","2012","Commerce","230.0k"
"Fisheries of the Northeastern United States; Northeast Multispecies Fishery; Amendment 23","2022","Commerce","8.4m"
"Revisions to the Export Administration Regulations (EAR): Control","2014","Commerce","0.0"
"Direct Investment Surveys: BE-10, Benchmark Survey","2014","Commerce","0.0"
"U.S. Integrated Ocean Observing System","2014","Commerce","0.0"
"Fisheries of the Caribbean, Gulf of Mexico, and South Atlantic","2005","Commerce","123.0k"
"Endangered and Threatened Species: Final Threatened Listing Determination","2008","Commerce","20.1m"
"Export Administration Regulations: Revisions to Space-Related Export Controls","2024","Commerce","-21.0k"
"Benchmark Survey of Transactions in Selected Services and Intangible Assets","2006","Commerce","0.0"
"Changes to Implement the Patent Search Fee Refund Provisions","2006","Commerce","0.0"
"Direct Investment Surveys: BE-12, Benchmark Survey","2011","Commerce","0.0"
"Changes to Eliminate the Disclosure Document Program","2006","Commerce","-240.0k"
"Fisheries of the Northeastern United States; Atlantic Sea Scallop Fishery; Amendment 21","2022","Commerce","18.0k"
"Fisheries of the Exclusive Economic Zone Off Alaska; Pacific Cod","2011","Commerce","0.0"
"Revisions To Export, Reexport, and Transfer (In-Country) Controls for Nicaragua Under the Export Administration Regulations","2024","Commerce","0.0"
"Taking Marine Mammals Incidental to Construction and Operation of Offshore Oil","2006","Commerce","0.0"
"Fisheries of the Northeastern U.S.; Atlantic Mackerel, Squid","2011","Commerce","774.0k"
"Northwestern Hawaiian Islands Marine National Monument","2006","Commerce","60.0k"
"REDUCE THE THREAT OF SHIP COLLISIONS WITH NORTH ATLANTIC RIGHT WHALES","2008","Commerce","0.0"
"Fishing Capacity Reduction Program, Southeast Alaska Purse","2011","Commerce","0.0"
"International Services Surveys: Amendments to the BE-120","2011","Commerce","0.0"
"Magnuson-Stevens Fishery Conservation Amendment 15","2011","Commerce","10.0k"
"Atlantic Large Whale Take Reduction Plan Regulations","2015","Commerce","-857.0k"
"BE-I80, Benchmark Survey of Financial Services Transactions","2015","Commerce","0.0"
"License Applications Under the Export Administration Regulations","2015","Commerce","0.0"
"Implementation of Sanctions Against Russia Under the Export Administration Regulations (EAR)","2022","Commerce","111.0k"
"Fisheries of the Caribbean, Gulf of Mexico, and South Atlantic; Reef Fish Fishery","2005","Commerce","200.0k"
"Endangered and Threatened Wildlife and Plants: Designating Critical Habitat for the Central America, Mexico, and Western North Pacific Distinct Population Segments of Humpback Whales","2021","Commerce","660.0k"
"Additional Protocol Regulations","2008","Commerce","140.0k"
"Fisheries of the Northeastern United States; Framework Adjustment 33 to the Atlantic Sea Scallop Fishery Management Plan","2021","Commerce","104.1m"
"Export Control Revisions for Australia, United Kingdom, United States (AUKUS) Enhanced Trilateral Security Partnership","2024","Commerce","0.0"
"Imposition of Sanctions on `Luxury Goods' Destined for Russia and Belarus and for Russian and Belarusian Oligarchs and Malign Actors Under the Export Administration Regulations (EAR)","2022","Commerce","33.0k"
"Electronic Trading Risk Principles","2021","Commodity Futures Trading Commission","0.0"
"Final Exemptive Order Regarding Compliance With Certain Swap Regulations","2013","Commodity Futures Trading Commission","0.0"
"Clearing Exemption for Swaps Between Certain Affiliated Entities","2013","Commodity Futures Trading Commission","685.3m"
"Identity Theft Red Flags Rules","2013","Commodity Futures Trading Commission","72.7m"
"Procedures To Establish Appropriate Minimum Block Sizes","2013","Commodity Futures Trading Commission","24.6m"
"Bankruptcy Regulations","2021","Commodity Futures Trading Commission","0.0"
"Core Principles and Other Requirements for Swap Execution Facilities","2013","Commodity Futures Trading Commission","582.0k"
"Process for a Designated Contract Market or Swap Execution Facility","2013","Commodity Futures Trading Commission","131.0k"
"Policy Statement Regarding Compliance With Certain Swap Regulations","2013","Commodity Futures Trading Commission","0.0"
"Enhanced Risk Management Standards for Systemically Important","2013","Commodity Futures Trading Commission","0.0"
"Derivatives Clearing Organizations and International Standards","2013","Commodity Futures Trading Commission","0.0"
"Clearing Exemption for Certain Swaps Entered Into by Cooperatives","2013","Commodity Futures Trading Commission","86.9k"
"Harmonization of Compliance Obligations","2013","Commodity Futures Trading Commission","0.0"
"Protection of Collateral of Counterparties","2013","Commodity Futures Trading Commission","20.2m"
"Enhancing Protections Afforded Customers: Derivatives Clearing Organizations","2013","Commodity Futures Trading Commission","487.0m"
"Swap Confirmation Requirements for Swap Execution Facilities","2024","Commodity Futures Trading Commission","0.0"
"Ownership and Control Reports, Forms 102/102S, 40/40S, and 71","2013","Commodity Futures Trading Commission","9.6m"
"Further Definition of ÒSwap Dealer,Ó ÒSecurity-Based Swap DealerÓ","2012","Commodity Futures Trading Commission","47.9m"
"Segregation of Assets Held as Collateral in Uncleared Swap Transactions","2019","Commodity Futures Trading Commission","0.0"
"Registration and Compliance Requirements for Commodity Pool Operators and Commodity Trading Advisors: Registered Investment Companies, Business Development Companies, and Definition of Reporting Person","2019","Commodity Futures Trading Commission","0.0"
"Margin Requirements for Uncleared Swaps for Swap Dealers","2016","Commodity Futures Trading Commission","2.1b"
"Margin Requirements for Uncleared Swaps for Swap Dealers","2016","Commodity Futures Trading Commission","64.0k"
"Amendments to Swap Data Recordkeeping and Reporting Requirements","2016","Commodity Futures Trading Commission","183.0k"
"System Safeguards Testing Requirements","2016","Commodity Futures Trading Commission","3.1m"
"Clearing Requirement Determination Under Section 2(h)","2016","Commodity Futures Trading Commission","168.0m"
"Aggregation of Positions","2016","Commodity Futures Trading Commission","1.1m"
"Real-Time Public Reporting of Swap Transaction Data","2012","Commodity Futures Trading Commission","150.0m"
"Swap Data Recordkeeping and Reporting Requirements","2012","Commodity Futures Trading Commission","3.6b"
"Swap Data Recordkeeping and Reporting Requirements","2012","Commodity Futures Trading Commission","6.3m"
"Core Principles and Other Requirements for Designated Contract Markets","2012","Commodity Futures Trading Commission","70.0k"
"Large Trader Reporting Requirements","2024","Commodity Futures Trading Commission","18.1m"
"Protection of Cleared Swaps Customer Contracts","2012","Commodity Futures Trading Commission","0.0"
"Adaptation of Regulations To Incorporate Swaps","2012","Commodity Futures Trading Commission","740.6m"
"Amendments to the Swap Data Access Provisions of Part 49 and Certain Other Matters","2018","Commodity Futures Trading Commission","5.7m"
"BUSINESS CONDUCT STANDARDS FOR SWAP DEALERS","2012","Commodity Futures Trading Commission","0.0"
"Registration of Swap Dealers and Major Swap Participants","2012","Commodity Futures Trading Commission","45.0m"
"Commodity Pool Operators, Trading Advisors: Compliance Obligations","2012","Commodity Futures Trading Commission","22.6m"
"End-User Exception to the Clearing Requirement for Swaps","2012","Commodity Futures Trading Commission","0.0"
"Cross-Border Application of the Registration Thresholds and Certain Requirements Applicable to Swap Dealers and Major Swap Participants","2020","Commodity Futures Trading Commission","0.0"
"Capital Requirements of Swap Dealers and Major Swap Participants","2020","Commodity Futures Trading Commission","0.0"
"Registration With Alternative Compliance for Non-U.S. Derivatives Clearing Organizations","2020","Commodity Futures Trading Commission","0.0"
"Compliance Requirements for Commodity Pool Operators on Form CPO-PQR","2020","Commodity Futures Trading Commission","0.0"
"Real-Time Public Reporting Requirements","2020","Commodity Futures Trading Commission","0.0"
"Certain Swap Data Repository and Data Reporting Requirements","2020","Commodity Futures Trading Commission","0.0"
"Adaptation of Regulations To Incorporate Swaps-Records of Transactions","2012","Commodity Futures Trading Commission","1.2m"
"Further Definition of ÒSwap,Ó ÒSecurity-Based SwapÓ","2012","Commodity Futures Trading Commission","990.0k"
"PROPRIETARY TRADING AND CERTAIN INTERESTS IN, AND RELATIONSHIPS WITH, HEDGE FUNDS AND PRIVATE EQUITY FUNDS ","2014","Commodity Futures Trading Commission","0.0"
"Exclusion of Utility Operations-Related Swaps","2014","Commodity Futures Trading Commission","95.0k"
"Form PF; Reporting Requirements for All Filers and Large Hedge Fund Advisers","2024","Commodity Futures Trading Commission","74.1m"
"Swap Dealer and Major Swap Participant Recordkeeping, Reporting, and Duties","2012","Commodity Futures Trading Commission","80.1m"
"Business Affiliate Marketing, Disposal of Consumer Information","2011","Commodity Futures Trading Commission","0.0"
"Derivatives Clearing Organization Provisions, Core Principles","2011","Commodity Futures Trading Commission","6.5m"
"FUNDS HELD IN AN ACCOUNT FOR FOREIGN FUTURES","2011","Commodity Futures Trading Commission","0.0"
"Customer Clearing Documentation, Timing of Acceptance for Clearing","2012","Commodity Futures Trading Commission","13.6m"
"Large Trader Reporting for Physical Commodity Swaps","2011","Commodity Futures Trading Commission","35.2m"
"Position Limits for Derivatives","2011","Commodity Futures Trading Commission","117.1m"
"Position Reports for Physical Commodity Swaps","2011","Commodity Futures Trading Commission","79.8m"
"Registration of Intermediaries","2012","Commodity Futures Trading Commission","0.0"
"Privacy of Consumer Financial Information; Amendments","2011","Commodity Futures Trading Commission","0.0"
"Process for Review of Swaps for Mandatory Clearing","2011","Commodity Futures Trading Commission","48.0k"
"Provisions Common to Registered Entities","2024","Commodity Futures Trading Commission","0.0"
"Provisions Common to Registered Entities","2011","Commodity Futures Trading Commission","0.0"
"Registration of Foreign Boards of Trade","2011","Commodity Futures Trading Commission","0.0"
"Reporting by Investment Advisers to Private Funds","2011","Commodity Futures Trading Commission","193.5m"
"Swap Data Repositories: Registration Standards and Principles","2011","Commodity Futures Trading Commission","212.6m"
"Whistleblower Incentives and Protection","2011","Commodity Futures Trading Commission","0.0"
"Confirmation, Portfolio Reconciliation, Portfolio Compression, Swap Trading","2012","Commodity Futures Trading Commission","106.4m"
"Debt Collection Practices (Regulation F)","2021","Consumer Financial Protection Bureau","0.0"
"Debt Collection Practices in Connection With the Global COVID-19 Pandemic (Regulation F)","2021","Consumer Financial Protection Bureau","0.0"
"Ability-to-Repay and Qualified Mortgage Standards Under Regulation Z","2013","Consumer Financial Protection Bureau","0.0"
"High-Cost Mortgage and Homeownership Counseling: Regulations Z, X","2013","Consumer Financial Protection Bureau","9.4m"
"Disclosure and Delivery Requirements for Copies of Appraisals","2013","Consumer Financial Protection Bureau","40.3m"
"MORTGAGE SERVICING RULES UNDER THE TRUTH IN LENDING ACT (REGULATION Z) ","2013","Consumer Financial Protection Bureau","0.0"
"Mortgage Servicing Rules: Real Estate Settlement Procedures Act Regulation X","2013","Consumer Financial Protection Bureau","7.1m"
"Loan Originator Compensation  Under the Truth in Lending Act (Regulation Z)","2013","Consumer Financial Protection Bureau","0.0"
"Mortgage Servicing Rules Under the Truth in Lending Act (Regulation Z)","2013","Consumer Financial Protection Bureau","9.5m"
"Electronic Fund Transfers (Regulation E)","2013","Consumer Financial Protection Bureau","0.0"
"Ability To Repay Standards Under the Truth in Lending Act (Regulation Z)","2013","Consumer Financial Protection Bureau","0.0"
"Rules of Practice for Issuance of Temporary Cease-and-Desist Orders","2013","Consumer Financial Protection Bureau","0.0"
"Amendments to the 2013 Mortgage Rules","2013","Consumer Financial Protection Bureau","0.0"
"Truth in Lending (Regulation Z)","2013","Consumer Financial Protection Bureau","0.0"
"DISCLOSURE OF LOAN-LEVEL HMDA DATA","2019","Consumer Financial Protection Bureau","0.0"
"Integrated Mortgage Disclosures","2013","Consumer Financial Protection Bureau","1.4b"
"PAYDAY, VEHICLE TITLE, AND CERTAIN HIGH-COST INSTALLMENT LOANS; DELAY OF COMPLIANCE DATE; CORRECTING AMENDMENTS ","2019","Consumer Financial Protection Bureau","0.0"
